epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,12694.3,0.71532,0.43441,0.91077,0.91661,0.79545,0.9145,0.56555,1.55767,0.67349,1.4341,0.000515,0.000515,0.000515
77,12853.9,0.73911,0.44759,0.94167,0.91773,0.79545,0.91444,0.57277,1.55141,0.67202,1.44016,0.0004952,0.0004952,0.0004952
78,13012.2,0.73353,0.4307,0.92758,0.86116,0.84591,0.92601,0.55684,1.56095,0.67876,1.44083,0.0004754,0.0004754,0.0004754
79,13168.5,0.71059,0.42513,0.91506,0.92252,0.81192,0.92908,0.56182,1.53625,0.64928,1.44268,0.0004556,0.0004556,0.0004556
80,13326.2,0.74839,0.44281,0.93162,0.86013,0.83859,0.91987,0.55034,1.53851,0.64924,1.42531,0.0004358,0.0004358,0.0004358
81,13482.7,0.74049,0.43133,0.93074,0.83665,0.86364,0.90285,0.55331,1.54931,0.67378,1.44248,0.000416,0.000416,0.000416
82,13639.8,0.70676,0.4212,0.90604,0.91475,0.79545,0.90452,0.54188,1.59431,0.67646,1.48943,0.0003962,0.0003962,0.0003962
83,13796,0.70798,0.41271,0.90158,0.92259,0.79545,0.90614,0.543,1.60081,0.69328,1.47546,0.0003764,0.0003764,0.0003764
84,13952.8,0.72587,0.42406,0.92608,0.92154,0.80089,0.89503,0.55667,1.53693,0.66393,1.42671,0.0003566,0.0003566,0.0003566
85,14109,0.70755,0.40781,0.9139,0.92119,0.797,0.92,0.54675,1.55435,0.68575,1.44303,0.0003368,0.0003368,0.0003368
86,14265.1,0.68609,0.4018,0.909,0.875,0.79549,0.9188,0.53932,1.59754,0.70949,1.47355,0.000317,0.000317,0.000317
87,14423.1,0.69498,0.4005,0.91252,0.82516,0.86364,0.91111,0.53565,1.58119,0.7047,1.4614,0.0002972,0.0002972,0.0002972
88,14580.3,0.69867,0.40744,0.91263,0.855,0.86364,0.91548,0.56233,1.56259,0.66863,1.4793,0.0002774,0.0002774,0.0002774
89,14740,0.69281,0.41108,0.90713,0.83916,0.86364,0.92035,0.56216,1.51469,0.65153,1.45913,0.0002576,0.0002576,0.0002576
90,14901,0.67916,0.39398,0.91278,0.89969,0.81545,0.91648,0.5481,1.55276,0.6598,1.46937,0.0002378,0.0002378,0.0002378
91,15064,0.9058,0.48036,1.0119,0.9228,0.81818,0.91506,0.52948,1.56454,0.63967,1.45121,0.000218,0.000218,0.000218
92,15219.4,0.92355,0.46361,1.01597,0.87878,0.84091,0.89081,0.53161,1.56356,0.62832,1.42548,0.0001982,0.0001982,0.0001982
93,15376.2,0.90039,0.45603,1.00326,0.87838,0.84091,0.91144,0.55241,1.53424,0.62471,1.41058,0.0001784,0.0001784,0.0001784
94,15532.7,0.90688,0.47027,1.00993,0.86314,0.8601,0.91798,0.55786,1.5384,0.61623,1.40805,0.0001586,0.0001586,0.0001586
95,15697.6,0.89182,0.44205,0.98894,0.86613,0.88233,0.90316,0.54153,1.54086,0.61006,1.3947,0.0001388,0.0001388,0.0001388
96,15885.3,0.88719,0.46365,0.99245,0.86444,0.88636,0.91109,0.53749,1.55312,0.64081,1.38553,0.000119,0.000119,0.000119
97,16121.3,0.84818,0.42931,0.97028,0.86371,0.88636,0.90165,0.53751,1.55672,0.63976,1.38274,9.92e-05,9.92e-05,9.92e-05
98,16371.8,0.86592,0.4263,0.98603,0.92494,0.84018,0.90752,0.53944,1.54154,0.61604,1.37374,7.94e-05,7.94e-05,7.94e-05
99,16520.5,0.84612,0.42755,0.98055,0.86918,0.90605,0.90859,0.54205,1.53593,0.62612,1.37376,5.96e-05,5.96e-05,5.96e-05
100,16694.8,0.83905,0.43008,0.97487,0.86893,0.90408,0.91438,0.54522,1.53925,0.63691,1.37569,3.98e-05,3.98e-05,3.98e-05
